date,ABLH_h00,ABLH_h01,ABLH_h02,ABLH_h03,ABLH_h04,ABLH_h05,ABLH_h06,ABLH_h07,ABLH_h08,ABLH_h09,ABLH_h10,ABLH_h11,ABLH_h12,ABLH_h13,ABLH_h14,ABLH_h15,ABLH_h16,ABLH_h17,ABLH_h18,ABLH_h19,ABLH_h20,ABLH_h21,ABLH_h22,ABLH_h23,AQI,PM2.5,PM10,NO2,SO2,CO
2024-03-18,506.00244,617.88403,714.1609,812.0073,844.31177,842.68384,857.8076,839.8447,631.7717,567.4734,397.50073,294.64087,291.35718,309.73047,259.59692,202.31265,169.45833,128.25304,100.205414,143.00659,148.44983,139.1071,140.9518,250.40855,228,97,6,0.54,30,51.0
2024-03-19,542.8015,649.85864,725.8137,865.5017,1207.4104,1377.3794,1423.325,1513.0754,1564.2444,1558.8342,415.44727,262.2268,175.92606,145.05936,149.97502,149.2409,127.80498,94.421616,56.625717,51.381714,60.377914,65.02255,69.650604,73.78754,187,77,7,0.53,30,57.0
2024-03-20,133.72954,309.9756,771.4702,1470.7734,1561.9961,1598.4331,1593.0322,1522.4927,1346.1736,605.07153,84.56523,82.78999,156.26752,193.23058,195.65013,197.66472,197.5521,203.13765,183.72363,161.40102,147.93546,136.22697,117.6145,139.22884,101,28,152,31.0,8,0.42
2024-03-21,194.16689,281.55542,372.22827,464.2334,633.59204,937.98096,1022.59375,996.635,729.0813,377.0122,250.3099,269.1997,309.70972,380.2251,465.79053,420.43262,355.31152,362.229,386.71387,393.6289,349.25,307.52612,246.69804,288.26123,177,93,8,0.43,33,86.0
2024-03-22,359.0974,435.09375,531.66504,734.87695,921.3335,1142.9106,1317.4924,1390.9377,1376.4175,359.81006,109.1951,109.63817,113.50595,101.596695,77.73422,62.018463,56.371216,58.415665,60.98697,57.13864,50.986725,49.630554,41.61223,55.08275,98,59,8,0.4,24,109.0
2024-03-23,79.47713,132.89107,198.4007,409.12134,607.5679,503.33813,464.3667,321.00415,231.17105,189.42122,161.89922,131.15474,112.814026,101.50748,98.51436,104.96797,114.919586,130.9125,131.6972,111.47032,78.6712,57.097336,16.348175,11.396846,161,78,10,0.63,53,66.0
2024-03-24,29.653732,136.57506,234.94131,282.677,346.41064,412.53613,335.28345,319.3567,313.08838,281.2776,259.26196,272.62183,248.18268,215.40776,191.80382,182.1184,176.0104,180.8861,191.34003,196.72101,201.66824,178.9727,128.62398,123.827484,291,79,6,0.82,55,24.0
2024-03-25,165.70795,234.3668,304.07617,586.6162,751.81226,734.2739,639.0388,639.8352,660.385,705.6255,770.4846,874.2241,829.5244,882.7554,976.37305,1003.97437,1042.4048,1113.6243,1086.5396,1024.6218,1024.7429,999.2529,1025.6799,925.1533,174,37,6,0.65,22,50.0
2024-03-26,1132.45,1189.3296,1221.9578,1230.4883,1313.1064,1308.2961,1261.8362,1209.9673,1164.6809,1071.3142,451.64746,67.27374,80.996185,132.2944,191.62947,220.93436,214.79305,214.58125,231.86444,264.00977,310.66113,351.27612,379.20215,476.68237,35,25,5,0.55,18,79.0
2024-03-27,571.4895,640.2212,685.36816,719.18286,783.5615,769.0896,751.5276,643.52344,410.79834,379.97534,326.38403,334.85938,321.7395,280.7395,231.11963,163.82135,112.84865,108.302704,90.65758,40.655685,64.32568,149.08073,279.93042,367.6443,47,35,7,0.54,23,84.0
2024-03-28,450.44897,432.01318,513.22876,699.3645,746.76807,782.3994,950.8843,995.83374,1053.6763,1097.7139,362.85376,55.3602,42.24321,46.159134,44.935577,55.844543,74.640396,92.5874,118.806625,144.96884,164.78448,178.61018,184.74458,230.1406,45,35,5,0.65,28,48.0
2024-03-29,316.04053,397.72314,480.50977,577.55396,721.4075,953.6201,1146.5769,1264.9221,1168.4048,558.41406,206.6646,181.24495,183.44351,183.67262,145.62119,119.203705,109.91832,94.897415,83.89067,92.15028,94.56375,88.98659,68.292755,87.39851,53,38,6,0.56,35,69.0
2024-03-30,129.3507,197.9748,290.4724,384.54907,484.531,592.60156,688.02026,803.5261,766.1487,432.19507,20.851212,31.705475,34.21585,41.321503,51.189407,93.67172,168.46967,174.6112,171.32701,179.0228,193.24991,213.5663,262.802,293.7788,161,66,8,0.45,45,80.0
